seed,front_size,tempo_s,compromise_avg_distance_km,compromise_coverage_80km_pct,compromise_p95_distance_km,best_avg_distance_km,best_coverage_80km_pct,best_p95_distance_km
42,23,7.88497,40.094197,89.926883,100.036596,38.221776,91.427954,92.848076
123,23,7.727739,41.167277,90.256381,93.744153,39.190108,91.798875,93.744153
456,28,8.338137,39.988068,90.521073,100.272602,38.098133,92.820855,90.108899
789,22,7.890014,40.443877,90.534309,93.060415,38.845121,91.819905,92.768516
1011,10,7.945998,39.992422,90.781273,102.40358,38.93401,91.914725,92.52551
