seed,generation,feasible_count,front0_count,feasible_front0_count,min_avg_distance_km,max_coverage_80km_pct,min_p95_distance_km,min_budget_violation_brl
42,1,100,9,9,54.036826,82.253966,111.221861,0.0
42,2,100,13,13,47.569347,82.554073,111.221861,0.0
42,3,100,12,12,47.569347,84.618043,109.252178,0.0
42,4,100,10,10,47.569347,84.618043,109.252178,0.0
42,5,100,9,9,47.569347,84.618043,109.252178,0.0
42,6,100,15,15,47.569347,84.618043,109.252178,0.0
42,7,100,19,19,47.569347,86.48849,109.252178,0.0
42,8,100,23,23,47.569347,86.48849,107.420852,0.0
42,9,100,24,24,47.569347,86.48849,107.420852,0.0
42,10,100,14,14,47.569347,86.48849,107.420852,0.0
42,11,100,18,18,46.739395,86.920589,107.420852,0.0
42,12,100,15,15,45.161448,86.920589,107.420852,0.0
42,13,100,16,16,45.161448,86.920589,107.420852,0.0
42,14,100,16,16,45.161448,86.920589,107.420852,0.0
42,15,100,16,16,45.161448,86.920589,107.420852,0.0
42,16,100,14,14,45.161448,86.920589,107.420852,0.0
42,17,100,12,12,45.161448,86.920589,107.420852,0.0
42,18,100,13,13,44.872598,86.920589,107.420852,0.0
42,19,100,14,14,44.872598,86.920589,107.420852,0.0
42,20,100,11,11,41.118353,86.920589,107.420852,0.0
42,21,100,10,10,41.118353,87.329985,101.655027,0.0
42,22,100,11,11,41.118353,87.998985,101.655027,0.0
42,23,100,9,9,41.118353,87.998985,101.655027,0.0
42,24,100,11,11,41.118353,87.998985,101.655027,0.0
42,25,100,12,12,41.118353,88.564634,101.655027,0.0
42,26,100,12,12,41.118353,88.564634,101.655027,0.0
42,27,100,15,15,41.118353,88.564634,101.655027,0.0
42,28,100,16,16,41.118353,88.564634,101.655027,0.0
42,29,100,19,19,41.118353,88.564634,101.655027,0.0
42,30,100,13,13,41.118353,88.564634,101.655027,0.0
42,31,100,8,8,41.118353,89.880018,99.765296,0.0
42,32,100,8,8,41.118353,89.880018,99.765296,0.0
42,33,100,8,8,41.118353,89.880018,99.765296,0.0
42,34,100,8,8,41.118353,89.880018,99.765296,0.0
42,35,100,9,9,41.118353,89.880018,99.765296,0.0
42,36,100,10,10,41.118353,89.880018,99.765296,0.0
42,37,100,11,11,41.118353,90.084695,99.765296,0.0
42,38,100,11,11,41.118353,90.084695,99.765296,0.0
42,39,100,11,11,41.118353,90.084695,99.765296,0.0
42,40,100,12,12,41.118353,90.084695,99.765296,0.0
42,41,100,10,10,41.118353,90.084695,99.765296,0.0
42,42,100,10,10,41.118353,90.084695,99.765296,0.0
42,43,100,10,10,41.118353,90.084695,99.765296,0.0
42,44,100,11,11,41.118353,90.084695,99.765296,0.0
42,45,100,12,12,41.118353,90.084695,99.765296,0.0
42,46,100,12,12,41.118353,90.084695,99.765296,0.0
42,47,100,12,12,41.118353,90.084695,99.765296,0.0
42,48,100,13,13,41.118353,90.084695,99.765296,0.0
42,49,100,15,15,41.118353,90.084695,99.765296,0.0
42,50,100,15,15,41.118353,90.084695,99.765296,0.0
42,51,100,16,16,41.118353,90.084695,99.765296,0.0
42,52,100,16,16,41.118353,90.084695,99.765296,0.0
42,53,100,15,15,41.118353,90.084695,99.765296,0.0
42,54,100,15,15,41.118353,90.084695,99.765296,0.0
42,55,100,15,15,41.118353,90.084695,99.765296,0.0
42,56,100,15,15,41.118353,90.084695,99.765296,0.0
42,57,100,15,15,41.118353,90.084695,99.765296,0.0
42,58,100,15,15,41.118353,90.084695,99.765296,0.0
42,59,100,13,13,40.632067,90.084695,99.765296,0.0
42,60,100,13,13,40.632067,90.084695,99.765296,0.0
42,61,100,13,13,40.632067,90.084695,99.765296,0.0
42,62,100,13,13,40.632067,90.084695,99.765296,0.0
42,63,100,14,14,40.632067,90.084695,99.765296,0.0
42,64,100,14,14,40.632067,90.084695,99.765296,0.0
42,65,100,14,14,40.632067,90.084695,99.765296,0.0
42,66,100,14,14,40.632067,90.084695,99.765296,0.0
42,67,100,14,14,40.632067,90.084695,99.765296,0.0
42,68,100,14,14,40.632067,90.084695,99.765296,0.0
42,69,100,14,14,40.632067,90.084695,99.765296,0.0
42,70,100,15,15,40.632067,90.084695,99.765296,0.0
42,71,100,16,16,40.632067,90.084695,99.163779,0.0
42,72,100,16,16,40.632067,90.084695,99.163779,0.0
42,73,100,16,16,40.632067,90.084695,99.163779,0.0
42,74,100,16,16,40.632067,90.084695,99.163779,0.0
42,75,100,16,16,40.632067,90.084695,99.163779,0.0
42,76,100,15,15,40.632067,90.084695,99.163779,0.0
42,77,100,15,15,40.632067,90.084695,99.163779,0.0
42,78,100,15,15,40.632067,90.084695,99.163779,0.0
42,79,100,15,15,40.632067,90.084695,99.163779,0.0
42,80,100,15,15,40.632067,90.084695,99.163779,0.0
42,81,100,15,15,40.632067,90.084695,99.163779,0.0
42,82,100,16,16,40.632067,90.084695,99.163779,0.0
42,83,100,17,17,40.632067,90.084695,98.309826,0.0
42,84,100,17,17,40.632067,90.084695,98.309826,0.0
42,85,100,17,17,40.632067,90.084695,98.309826,0.0
42,86,100,18,18,40.632067,90.084695,98.309826,0.0
42,87,100,14,14,40.632067,90.084695,98.309826,0.0
42,88,100,14,14,40.632067,90.084695,98.309826,0.0
42,89,100,14,14,40.632067,90.084695,98.309826,0.0
42,90,100,14,14,40.632067,90.084695,98.309826,0.0
42,91,100,14,14,40.632067,90.084695,98.309826,0.0
42,92,100,14,14,40.632067,90.084695,98.309826,0.0
42,93,100,14,14,40.632067,90.084695,98.309826,0.0
42,94,100,14,14,40.632067,90.084695,98.309826,0.0
42,95,100,14,14,40.632067,90.084695,98.309826,0.0
42,96,100,15,15,40.632067,90.084695,98.309826,0.0
42,97,100,15,15,40.632067,90.084695,98.309826,0.0
42,98,100,15,15,40.632067,90.084695,98.309826,0.0
42,99,100,15,15,40.632067,90.084695,98.309826,0.0
42,100,100,16,16,40.632067,90.084695,98.309826,0.0
42,101,100,16,16,40.632067,90.084695,98.309826,0.0
42,102,100,16,16,40.632067,90.084695,98.309826,0.0
42,103,100,16,16,40.632067,90.084695,98.309826,0.0
42,104,100,16,16,40.632067,90.084695,98.309826,0.0
42,105,100,17,17,40.632067,90.084695,98.309826,0.0
42,106,100,17,17,40.632067,90.084695,98.309826,0.0
42,107,100,17,17,40.632067,90.084695,98.309826,0.0
42,108,100,17,17,40.632067,90.084695,98.309826,0.0
42,109,100,19,19,40.079646,90.084695,98.309826,0.0
42,110,100,19,19,40.079646,90.084695,98.309826,0.0
42,111,100,19,19,40.079646,90.084695,98.309826,0.0
42,112,100,19,19,40.079646,90.084695,98.309826,0.0
42,113,100,19,19,40.079646,90.084695,98.309826,0.0
42,114,100,21,21,40.079646,90.084695,98.309826,0.0
42,115,100,21,21,40.079646,90.084695,98.309826,0.0
42,116,100,22,22,40.079646,90.084695,98.309826,0.0
42,117,100,23,23,40.079646,90.084695,98.309826,0.0
42,118,100,23,23,40.079646,90.084695,98.309826,0.0
42,119,100,23,23,40.079646,90.084695,98.309826,0.0
42,120,100,23,23,40.079646,90.084695,98.309826,0.0
42,121,100,23,23,40.079646,90.084695,98.309826,0.0
42,122,100,23,23,40.079646,90.084695,98.309826,0.0
42,123,100,24,24,40.079646,90.084695,98.309826,0.0
42,124,100,24,24,40.079646,90.084695,98.309826,0.0
42,125,100,23,23,40.079646,90.084695,98.309826,0.0
42,126,100,24,24,40.079646,90.084695,98.309826,0.0
42,127,100,24,24,40.079646,90.084695,98.309826,0.0
42,128,100,24,24,40.079646,90.084695,98.309826,0.0
42,129,100,25,25,40.079646,90.084695,98.309826,0.0
42,130,100,25,25,40.079646,90.084695,98.309826,0.0
42,131,100,26,26,40.079646,90.084695,98.309826,0.0
42,132,100,26,26,40.079646,90.084695,98.309826,0.0
42,133,100,27,27,40.079646,90.084695,98.309826,0.0
42,134,100,28,28,40.079646,90.084695,98.309826,0.0
42,135,100,26,26,40.079646,90.084695,98.309826,0.0
42,136,100,26,26,40.079646,90.084695,98.309826,0.0
42,137,100,26,26,40.079646,90.084695,98.309826,0.0
42,138,100,26,26,40.079646,90.084695,98.309826,0.0
42,139,100,26,26,40.079646,90.084695,98.309826,0.0
42,140,100,26,26,40.079646,90.084695,98.309826,0.0
42,141,100,27,27,40.079646,90.084695,98.309826,0.0
42,142,100,27,27,40.079646,90.084695,98.309826,0.0
42,143,100,27,27,40.079646,90.084695,98.309826,0.0
42,144,100,28,28,40.079646,90.084695,98.309826,0.0
42,145,100,15,15,40.079646,90.084695,98.309826,0.0
42,146,100,16,16,40.079646,90.084695,98.309826,0.0
42,147,100,17,17,40.079646,90.084695,98.309826,0.0
42,148,100,18,18,40.079646,90.084695,98.309826,0.0
42,149,100,18,18,40.079646,90.084695,98.309826,0.0
42,150,100,16,16,40.079646,90.084695,98.309826,0.0
42,151,100,16,16,40.079646,90.084695,98.309826,0.0
42,152,100,16,16,40.079646,90.084695,98.309826,0.0
42,153,100,16,16,40.079646,90.084695,98.309826,0.0
42,154,100,16,16,40.079646,90.084695,98.309826,0.0
42,155,100,16,16,40.079646,90.084695,98.309826,0.0
42,156,100,17,17,40.079646,90.548523,98.309826,0.0
42,157,100,18,18,40.079646,90.548523,98.309826,0.0
42,158,100,18,18,40.079646,90.548523,98.309826,0.0
42,159,100,19,19,40.079646,90.642082,98.309826,0.0
42,160,100,19,19,40.079646,90.642082,98.309826,0.0
42,161,100,19,19,40.079646,90.642082,98.309826,0.0
42,162,100,20,20,40.079646,90.642082,98.309826,0.0
42,163,100,18,18,40.079646,90.642082,98.309826,0.0
42,164,100,18,18,40.079646,90.642082,98.309826,0.0
42,165,100,18,18,40.079646,90.642082,98.309826,0.0
42,166,100,18,18,40.079646,90.642082,98.309826,0.0
42,167,100,19,19,40.079646,90.642082,98.309826,0.0
42,168,100,19,19,40.079646,90.642082,98.309826,0.0
42,169,100,19,19,40.079646,90.642082,98.309826,0.0
42,170,100,19,19,40.079646,90.642082,98.309826,0.0
42,171,100,19,19,40.079646,90.642082,98.309826,0.0
42,172,100,19,19,39.031475,90.642082,98.309826,0.0
42,173,100,19,19,39.031475,90.642082,98.309826,0.0
42,174,100,16,16,39.031475,90.642082,98.309826,0.0
42,175,100,16,16,39.031475,90.642082,98.309826,0.0
42,176,100,16,16,39.031475,90.642082,98.309826,0.0
42,177,100,16,16,39.031475,90.642082,98.309826,0.0
42,178,100,16,16,39.031475,90.642082,98.309826,0.0
42,179,100,16,16,39.031475,90.642082,98.309826,0.0
42,180,100,17,17,39.031475,90.642082,98.309826,0.0
42,181,100,18,18,39.031475,90.642082,98.309826,0.0
42,182,100,18,18,39.031475,90.642082,98.309826,0.0
42,183,100,17,17,39.031475,90.642082,98.309826,0.0
42,184,100,17,17,39.031475,90.642082,98.309826,0.0
42,185,100,18,18,39.031475,90.642082,98.309826,0.0
42,186,100,19,19,39.031475,90.642082,98.309826,0.0
42,187,100,19,19,39.031475,90.642082,98.309826,0.0
42,188,100,19,19,39.031475,90.642082,98.309826,0.0
42,189,100,11,11,39.031475,90.642082,98.309826,0.0
42,190,100,11,11,39.031475,90.642082,98.309826,0.0
42,191,100,11,11,39.031475,91.02485,98.309826,0.0
42,192,100,12,12,39.031475,91.02485,98.309826,0.0
42,193,100,12,12,39.031475,91.02485,98.309826,0.0
42,194,100,12,12,39.031475,91.02485,98.309826,0.0
42,195,100,12,12,39.031475,91.02485,98.309826,0.0
42,196,100,12,12,39.031475,91.02485,98.309826,0.0
42,197,100,12,12,39.031475,91.02485,98.309826,0.0
42,198,100,13,13,39.031475,91.02485,98.309826,0.0
42,199,100,13,13,39.031475,91.02485,98.309826,0.0
42,200,100,13,13,39.031475,91.02485,98.309826,0.0
42,201,100,13,13,39.031475,91.02485,98.309826,0.0
42,202,100,13,13,39.031475,91.02485,98.309826,0.0
42,203,100,13,13,39.031475,91.02485,98.309826,0.0
42,204,100,13,13,39.031475,91.02485,98.309826,0.0
42,205,100,13,13,39.031475,91.02485,98.309826,0.0
42,206,100,13,13,39.031475,91.02485,98.309826,0.0
42,207,100,14,14,39.031475,91.02485,98.309826,0.0
42,208,100,15,15,39.031475,91.02485,98.309826,0.0
42,209,100,16,16,39.031475,91.02485,98.309826,0.0
42,210,100,17,17,39.031475,91.02485,98.309826,0.0
42,211,100,17,17,39.031475,91.02485,98.309826,0.0
42,212,100,19,19,39.031475,91.02485,97.717156,0.0
42,213,100,19,19,39.031475,91.02485,97.717156,0.0
42,214,100,20,20,39.031475,91.02485,92.848076,0.0
42,215,100,20,20,39.031475,91.02485,92.848076,0.0
42,216,100,20,20,39.031475,91.02485,92.848076,0.0
42,217,100,20,20,39.031475,91.02485,92.848076,0.0
42,218,100,20,20,39.031475,91.02485,92.848076,0.0
42,219,100,20,20,39.031475,91.02485,92.848076,0.0
42,220,100,20,20,39.031475,91.02485,92.848076,0.0
42,221,100,20,20,39.031475,91.02485,92.848076,0.0
42,222,100,20,20,39.031475,91.02485,92.848076,0.0
42,223,100,20,20,39.031475,91.02485,92.848076,0.0
42,224,100,20,20,39.031475,91.02485,92.848076,0.0
42,225,100,20,20,39.031475,91.02485,92.848076,0.0
42,226,100,20,20,39.031475,91.02485,92.848076,0.0
42,227,100,20,20,39.031475,91.02485,92.848076,0.0
42,228,100,20,20,39.031475,91.02485,92.848076,0.0
42,229,100,20,20,39.031475,91.02485,92.848076,0.0
42,230,100,20,20,39.031475,91.02485,92.848076,0.0
42,231,100,20,20,39.031475,91.02485,92.848076,0.0
42,232,100,20,20,39.031475,91.02485,92.848076,0.0
42,233,100,20,20,39.031475,91.02485,92.848076,0.0
42,234,100,20,20,39.031475,91.02485,92.848076,0.0
42,235,100,20,20,39.031475,91.02485,92.848076,0.0
42,236,100,20,20,39.031475,91.02485,92.848076,0.0
42,237,100,20,20,39.031475,91.02485,92.848076,0.0
42,238,100,20,20,39.031475,91.02485,92.848076,0.0
42,239,100,21,21,39.031475,91.02485,92.848076,0.0
42,240,100,21,21,39.031475,91.02485,92.848076,0.0
42,241,100,22,22,39.031475,91.02485,92.848076,0.0
42,242,100,23,23,39.031475,91.02485,92.848076,0.0
42,243,100,19,19,39.031475,91.427954,92.848076,0.0
42,244,100,17,17,39.031475,91.427954,92.848076,0.0
42,245,100,17,17,39.031475,91.427954,92.848076,0.0
42,246,100,17,17,39.031475,91.427954,92.848076,0.0
42,247,100,18,18,39.031475,91.427954,92.848076,0.0
42,248,100,18,18,39.031475,91.427954,92.848076,0.0
42,249,100,18,18,39.031475,91.427954,92.848076,0.0
42,250,100,18,18,39.031475,91.427954,92.848076,0.0
42,251,100,19,19,39.031475,91.427954,92.848076,0.0
42,252,100,19,19,39.031475,91.427954,92.848076,0.0
42,253,100,19,19,39.031475,91.427954,92.848076,0.0
42,254,100,19,19,39.031475,91.427954,92.848076,0.0
42,255,100,19,19,39.031475,91.427954,92.848076,0.0
42,256,100,19,19,39.031475,91.427954,92.848076,0.0
42,257,100,19,19,39.031475,91.427954,92.848076,0.0
42,258,100,19,19,39.031475,91.427954,92.848076,0.0
42,259,100,20,20,39.031475,91.427954,92.848076,0.0
42,260,100,20,20,39.031475,91.427954,92.848076,0.0
42,261,100,20,20,39.031475,91.427954,92.848076,0.0
42,262,100,19,19,39.031475,91.427954,92.848076,0.0
42,263,100,20,20,39.031475,91.427954,92.848076,0.0
42,264,100,21,21,39.031475,91.427954,92.848076,0.0
42,265,100,21,21,39.031475,91.427954,92.848076,0.0
42,266,100,21,21,39.031475,91.427954,92.848076,0.0
42,267,100,22,22,39.031475,91.427954,92.848076,0.0
42,268,100,23,23,39.031475,91.427954,92.848076,0.0
42,269,100,23,23,39.031475,91.427954,92.848076,0.0
42,270,100,24,24,39.031475,91.427954,92.848076,0.0
42,271,100,24,24,39.031475,91.427954,92.848076,0.0
42,272,100,25,25,39.031475,91.427954,92.848076,0.0
42,273,100,26,26,39.031475,91.427954,92.848076,0.0
42,274,100,26,26,39.031475,91.427954,92.848076,0.0
42,275,100,26,26,39.031475,91.427954,92.848076,0.0
42,276,100,27,27,39.031475,91.427954,92.848076,0.0
42,277,100,27,27,39.031475,91.427954,92.848076,0.0
42,278,100,27,27,39.031475,91.427954,92.848076,0.0
42,279,100,29,29,39.031475,91.427954,92.848076,0.0
42,280,100,29,29,39.031475,91.427954,92.848076,0.0
